,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
33307,193.2,C10H11NO3,193.2,CN(C)C(=O)Oc1ccc(C=O)cc1,Advamacs,0,,"Carbamic acid, N,N-dimethyl-, 4-formylphenyl ester 95%",MFCD24677452,289949102,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23DD470>,11
33369,193.22,C11H12FNO,193.22,Fc1cccc(N2CCCC2)c1C=O,HTS Biochemie,0,,2-fluoro-6-pyrrolidin-1-ylbenzaldehyde,MFCD06660487,2858978,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23DF430>,12
33382,193.22,C11H12FNO,193.22,Fc1ccc(C=O)cc1N1CCCC1,Accela ChemBio (ASD),0,,4-Fluoro-3-pyrrolidinobenzaldehyde,MFCD13191603,30151703,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23DF770>,15
33423,193.25,C11H15NO2,193.25,CCN(CC)c1ccc(C=O)c(O)c1,Alinda Chemical,0,,4-(diethylamino)-2-hydroxybenzaldehyde,MFCD00003326,489804,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23E21F0>,38
33461,193.25,C11H15NO2,193.25,CN(C)CCOc1ccc(C=O)cc1,Aldlab Chemicals,0,,4-(2-(Dimethylamino)ethoxy)benzaldehyde,MFCD07368978,1508648,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23E2B70>,31
33496,193.25,C11H15NO2,193.25,CN(C)CCOc1ccccc1C=O,Maybridge,0,,2-[2-(dimethylamino)ethoxy]benzaldehyde,MFCD08146610,5769592,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23E3470>,16
33512,193.25,C11H15NO2,193.25,CN(C)CCOc1cccc(C=O)c1,Alinda Chemical,0,,3-[2-(dimethylamino)ethoxy]benzaldehyde,MFCD09675043,14272754,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23E3870>,12
33717,194.19,C10H10O4,194.19,COc1cc(C=O)ccc1OC(C)=O,Aldlab Chemicals,0,,4-Formyl-2-methoxyphenylacetate,MFCD00003362,492627,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23EBC70>,29
33767,194.19,C10H10O4,194.19,COc1cc(C=O)cc2OCCOc12,InterBioScreen,0,,"8-methoxy-2,3-dihydrobenzo[b][1,4]dioxine-6-carbaldehyde",MFCD06342801,840246,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23EE930>,20
33787,194.19,C10H10O4,194.19,COC(=O)COc1ccccc1C=O,Vitas M Labs,0,,methyl (2-formylphenoxy)acetate,MFCD02629604,857997,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23EEE30>,30
33817,194.19,C10H10O4,194.19,COC(=O)COc1ccc(C=O)cc1,Aldlab Chemicals,0,,Methyl2-(4-formylphenoxy)acetate,MFCD00463122,858015,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F15F0>,34
